infinitive,mood,tense,form_1s,form_2s,form_3s,form_1p,form_2p,form_3p,gerund,pastparticiple
cruzar,Indicativo,Condicional,cruzaría,cruzarías,cruzaría,cruzaríamos,cruzaríais,cruzarían,cruzando,cruzado
cruzar,Indicativo,Presente perfecto,he cruzado,has cruzado,ha cruzado,hemos cruzado,habéis cruzado,han cruzado,cruzando,cruzado
cruzar,Indicativo,Futuro perfecto,habré cruzado,habrás cruzado,habrá cruzado,habremos cruzado,habréis cruzado,habrán cruzado,cruzando,cruzado
cruzar,Indicativo,Pluscuamperfecto,había cruzado,habías cruzado,había cruzado,habíamos cruzado,habíais cruzado,habían cruzado,cruzando,cruzado
cruzar,Indicativo,Pretérito anterior,hube cruzado,hubiste cruzado,hubo cruzado,hubimos cruzado,hubisteis cruzado,hubieron cruzado,cruzando,cruzado
cruzar,Indicativo,Condicional perfecto,habría cruzado,habrías cruzado,habría cruzado,habríamos cruzado,habríais cruzado,habrían cruzado,cruzando,cruzado
cruzar,Subjuntivo,Presente,cruce,cruces,cruce,crucemos,crucéis,crucen,cruzando,cruzado
cruzar,Subjuntivo,Imperfecto,cruzara,cruzaras,cruzara,cruzáramos,cruzarais,cruzaran,cruzando,cruzado
cruzar,Subjuntivo,Futuro,cruzare,cruzares,cruzare,cruzáremos,cruzareis,cruzaren,cruzando,cruzado
cruzar,Subjuntivo,Presente perfecto,haya cruzado,hayas cruzado,haya cruzado,hayamos cruzado,hayáis cruzado,hayan cruzado,cruzando,cruzado
cruzar,Subjuntivo,Futuro perfecto,hubiere cruzado,hubieres cruzado,hubiere cruzado,hubiéremos cruzado,hubiereis cruzado,hubieren cruzado,cruzando,cruzado
cruzar,Subjuntivo,Pluscuamperfecto,hubiera cruzado,hubieras cruzado,hubiera cruzado,hubiéramos cruzado,hubierais cruzado,hubieran cruzado,cruzando,cruzado
cruzar,Imperativo Afirmativo,Presente,,cruza,cruzad,,cruce,crucen,cruzando,cruzado
cruzar,Imperativo Negativo,Presente,,no cruces,no crucéis,,no cruce,no crucen,cruzando,cruzado
cubrir,Indicativo,Presente,cubro,cubres,cubre,cubrimos,cubrís,cubren,cubriendo,cubierto
cubrir,Indicativo,Futuro,cubriré,cubrirás,cubrirá,cubriremos,cubriréis,cubrirán,cubriendo,cubierto
cubrir,Indicativo,Imperfecto,cubría,cubrías,cubría,cubríamos,cubríais,cubrían,cubriendo,cubierto
cubrir,Indicativo,Pretérito,cubrí,cubriste,cubrió,cubrimos,cubristeis,cubrieron,cubriendo,cubierto
cubrir,Indicativo,Condicional,cubriría,cubrirías,cubriría,cubriríamos,cubriríais,cubrirían,cubriendo,cubierto
cubrir,Indicativo,Presente perfecto,he cubierto,has cubierto,ha cubierto,hemos cubierto,habéis cubierto,han cubierto,cubriendo,cubierto
cubrir,Indicativo,Futuro perfecto,habré cubierto,habrás cubierto,habrá cubierto,habremos cubierto,habréis cubierto,habrán cubierto,cubriendo,cubierto
cubrir,Indicativo,Pluscuamperfecto,había cubierto,habías cubierto,había cubierto,habíamos cubierto,habíais cubierto,habían cubierto,cubriendo,cubierto
cubrir,Indicativo,Pretérito anterior,hube cubierto,hubiste cubierto,hubo cubierto,hubimos cubierto,hubisteis cubierto,hubieron cubierto,cubriendo,cubierto
cubrir,Indicativo,Condicional perfecto,habría cubierto,habrías cubierto,habría cubierto,habríamos cubierto,habríais cubierto,habrían cubierto,cubriendo,cubierto
cubrir,Subjuntivo,Presente,cubra,cubras,cubra,cubramos,cubráis,cubran,cubriendo,cubierto
cubrir,Subjuntivo,Imperfecto,cubriera,cubrieras,cubriera,cubriéramos,cubrierais,cubrieran,cubriendo,cubierto
cubrir,Subjuntivo,Futuro,cubriere,cubrieres,cubriere,cubriéremos,cubriereis,cubrieren,cubriendo,cubierto
cubrir,Subjuntivo,Presente perfecto,haya cubierto,hayas cubierto,haya cubierto,hayamos cubierto,hayáis cubierto,hayan cubierto,cubriendo,cubierto
cubrir,Subjuntivo,Futuro perfecto,hubiere cubierto,hubieres cubierto,hubiere cubierto,hubiéremos cubierto,hubiereis cubierto,hubieren cubierto,cubriendo,cubierto
cubrir,Subjuntivo,Pluscuamperfecto,hubiera cubierto,hubieras cubierto,hubiera cubierto,hubiéramos cubierto,hubierais cubierto,hubieran cubierto,cubriendo,cubierto
cubrir,Imperativo Afirmativo,Presente,,cubre,cubrid,,cubra,cubran,cubriendo,cubierto
cubrir,Imperativo Negativo,Presente,,no cubras,no cubráis,,no cubra,no cubran,cubriendo,cubierto
cuidar,Indicativo,Presente,cuido,cuidas,cuida,cuidamos,cuidáis,cuidan,cuidando,cuidado
cuidar,Indicativo,Futuro,cuidaré,cuidarás,cuidará,cuidaremos,cuidaréis,cuidarán,cuidando,cuidado
cuidar,Indicativo,Imperfecto,cuidaba,cuidabas,cuidaba,cuidábamos,cuidabais,cuidaban,cuidando,cuidado
cuidar,Indicativo,Condicional,cuidaría,cuidarías,cuidaría,cuidaríamos,cuidaríais,cuidarían,cuidando,cuidado
cuidar,Indicativo,Presente perfecto,he cuidado,has cuidado,ha cuidado,hemos cuidado,habéis cuidado,han cuidado,cuidando,cuidado
cuidar,Indicativo,Futuro perfecto,habré cuidado,habrás cuidado,habrá cuidado,habremos cuidado,habréis cuidado,habrán cuidado,cuidando,cuidado
cuidar,Indicativo,Pluscuamperfecto,había cuidado,habías cuidado,había cuidado,habíamos cuidado,habíais cuidado,habían cuidado,cuidando,cuidado
cuidar,Indicativo,Pretérito anterior,hube cuidado,hubiste cuidado,hubo cuidado,hubimos cuidado,hubisteis cuidado,hubieron cuidado,cuidando,cuidado
cuidar,Indicativo,Condicional perfecto,habría cuidado,habrías cuidado,habría cuidado,habríamos cuidado,habríais cuidado,habrían cuidado,cuidando,cuidado
cuidar,Subjuntivo,Presente,cuide,cuides,cuide,cuidemos,cuidéis,cuiden,cuidando,cuidado
cuidar,Subjuntivo,Imperfecto,cuidara,cuidaras,cuidara,cuidáramos,cuidarais,cuidaran,cuidando,cuidado
cuidar,Subjuntivo,Futuro,cuidare,cuidares,cuidare,cuidáremos,cuidareis,cuidaren,cuidando,cuidado
cuidar,Subjuntivo,Presente perfecto,haya cuidado,hayas cuidado,haya cuidado,hayamos cuidado,hayáis cuidado,hayan cuidado,cuidando,cuidado
cuidar,Subjuntivo,Futuro perfecto,hubiere cuidado,hubieres cuidado,hubiere cuidado,hubiéremos cuidado,hubiereis cuidado,hubieren cuidado,cuidando,cuidado
cuidar,Subjuntivo,Pluscuamperfecto,hubiera cuidado,hubieras cuidado,hubiera cuidado,hubiéramos cuidado,hubierais cuidado,hubieran cuidado,cuidando,cuidado
cuidar,Imperativo Afirmativo,Presente,,cuida,cuidad,,cuide,cuiden,cuidando,cuidado
cuidar,Imperativo Negativo,Presente,,no cuides,no cuidéis,,no cuide,no cuiden,cuidando,cuidado
culpar,Indicativo,Presente,culpo,culpas,culpa,culpamos,culpáis,culpan,culpando,culpado
culpar,Indicativo,Futuro,culparé,culparás,culpará,culparemos,culparéis,culparán,culpando,culpado
culpar,Indicativo,Imperfecto,culpaba,culpabas,culpaba,culpábamos,culpabais,culpaban,culpando,culpado
culpar,Indicativo,Pretérito,culpé,culpaste,culpó,culpamos,culpasteis,culparon,culpando,culpado
culpar,Indicativo,Condicional,culparía,culparías,culparía,culparíamos,culparíais,culparían,culpando,culpado
culpar,Indicativo,Presente perfecto,he culpado,has culpado,ha culpado,hemos culpado,habéis culpado,han culpado,culpando,culpado
culpar,Indicativo,Futuro perfecto,habré culpado,habrás culpado,habrá culpado,habremos culpado,habréis culpado,habrán culpado,culpando,culpado
culpar,Indicativo,Pluscuamperfecto,había culpado,habías culpado,había culpado,habíamos culpado,habíais culpado,habían culpado,culpando,culpado
culpar,Indicativo,Pretérito anterior,hube culpado,hubiste culpado,hubo culpado,hubimos culpado,hubisteis culpado,hubieron culpado,culpando,culpado
culpar,Indicativo,Condicional perfecto,habría culpado,habrías culpado,habría culpado,habríamos culpado,habríais culpado,habrían culpado,culpando,culpado
culpar,Subjuntivo,Presente,culpe,culpes,culpe,culpemos,culpéis,culpen,culpando,culpado
culpar,Subjuntivo,Imperfecto,culpara,culparas,culpara,culpáramos,culparais,culparan,culpando,culpado
culpar,Subjuntivo,Futuro,culpare,culpares,culpare,culpáremos,culpareis,culparen,culpando,culpado
culpar,Subjuntivo,Presente perfecto,haya culpado,hayas culpado,haya culpado,hayamos culpado,hayáis culpado,hayan culpado,culpando,culpado
culpar,Subjuntivo,Futuro perfecto,hubiere culpado,hubieres culpado,hubiere culpado,hubiéremos culpado,hubiereis culpado,hubieren culpado,culpando,culpado
culpar,Subjuntivo,Pluscuamperfecto,hubiera culpado,hubieras culpado,hubiera culpado,hubiéramos culpado,hubierais culpado,hubieran culpado,culpando,culpado
culpar,Imperativo Afirmativo,Presente,,culpa,culpad,,culpe,culpen,culpando,culpado
culpar,Imperativo Negativo,Presente,,no culpes,no culpéis,,no culpe,no culpen,culpando,culpado
cultivar,Indicativo,Presente,cultivo,cultivas,cultiva,cultivamos,cultiváis,cultivan,cultivando,cultivado
cultivar,Indicativo,Futuro,cultivaré,cultivarás,cultivará,cultivaremos,cultivaréis,cultivarán,cultivando,cultivado
cultivar,Indicativo,Imperfecto,cultivaba,cultivabas,cultivaba,cultivábamos,cultivabais,cultivaban,cultivando,cultivado
cultivar,Indicativo,Pretérito,cultivé,cultivaste,cultivó,cultivamos,cultivasteis,cultivaron,cultivando,cultivado
cultivar,Indicativo,Condicional,cultivaría,cultivarías,cultivaría,cultivaríamos,cultivaríais,cultivarían,cultivando,cultivado
cultivar,Indicativo,Presente perfecto,he cultivado,has cultivado,ha cultivado,hemos cultivado,habéis cultivado,han cultivado,cultivando,cultivado
cultivar,Indicativo,Futuro perfecto,habré cultivado,habrás cultivado,habrá cultivado,habremos cultivado,habréis cultivado,habrán cultivado,cultivando,cultivado
cultivar,Indicativo,Pluscuamperfecto,había cultivado,habías cultivado,había cultivado,habíamos cultivado,habíais cultivado,habían cultivado,cultivando,cultivado
cultivar,Indicativo,Pretérito anterior,hube cultivado,hubiste cultivado,hubo cultivado,hubimos cultivado,hubisteis cultivado,hubieron cultivado,cultivando,cultivado
cultivar,Indicativo,Condicional perfecto,habría cultivado,habrías cultivado,habría cultivado,habríamos cultivado,habríais cultivado,habrían cultivado,cultivando,cultivado
